country|pid|rank|week
BAN|216150|469|18042
FIJ|197657|469|18042
IND|1446213|469|18042
THA|1694186|469|18042
PYF|2471994|469|18042
PYF|2839203|469|18042
AUS|239711|475|18042
GUM|1971517|475|18042
GUM|1971553|475|18042
PYF|2839293|475|18042
PYF|2839338|475|18042
BEL|1608657|480|18042
IND|660611|481|18042
FRA|1725868|482|18042
PAK|117045|483|18042
SLO|1469082|484|18042
FIN|108212|485|18042
BEN|2502930|486|18042
GHA|263012|487|18042
PER|1438020|488|18042
MAS|107882|489|18042
IND|108506|489|18042
IRI|220016|489|18042
SRI|251993|489|18042
POR|306542|489|18042
JPN|1069140|489|18042
NGR|1250860|489|18042
JPN|1993309|489|18042
INA|1602236|489|18042
IRI|2389548|489|18042
IRI|2163806|489|18042
IRI|2389290|489|18042
INA|1525673|489|18042
NGR|2574421|489|18042
NGR|2571183|489|18042
INA|2462177|489|18042
IRI|1423456|489|18042
JPN|2440869|489|18042
HUN|1262417|507|18042
IND|2430819|508|18042
BOT|148463|509|18042
BOT|244689|509|18042
IRI|1030041|509|18042
MEX|1269764|509|18042
ZAM|1259708|509|18042
IND|1204008|509|18042
SGP|1567161|509|18042
IRI|2389374|509|18042
PER|1437143|509|18042
INA|1196288|509|18042
USA|2473740|509|18042
IND|2518059|509|18042
UGA|118620|521|18042
RUS|1524428|522|18042
THA|1199830|523|18042
ARM|1061622|524|18042
ESA|1183028|525|18042
CAN|2532443|525|18042
JPN|2440953|525|18042
ENG|363254|528|18042
MAS|107911|529|18042
USA|109179|529|18042
AUS|109571|529|18042
SGP|195556|529|18042
PAK|220028|529|18042
BOT|211357|529|18042
USA|455888|529|18042
JOR|367756|529|18042
THA|1143971|529|18042
PAK|1272126|529|18042
BRA|1611981|529|18042
PAK|2179266|529|18042
MEX|2636730|529|18042
BOT|2783596|529|18042
RSA|2170229|529|18042
CIV|2516314|529|18042
MAC|1344951|529|18042
SCO|1227895|546|18042
GER|1443237|547|18042
CYP|1447488|548|18042
RUS|144227|549|18042
AZE|220032|549|18042
TPE|347222|549|18042
RUS|1180854|549|18042
AZE|1420811|549|18042
RUS|2164247|549|18042
CHN|1688039|549|18042
RUS|2525001|549|18042
CHN|2902345|549|18042
CHN|2902253|549|18042
CHN|2424429|549|18042
CHN|2539258|549|18042
CHN|2902299|549|18042
CAN|2077342|549|18042
HUN|1038734|563|18042
TUR|814027|564|18042
JPN|1647515|564|18042
ALG|2743745|564|18042
BAN|117035|567|18042
GRE|2009168|568|18042
ARG|2786445|568|18042
SCO|440380|570|18042
MRI|1982833|570|18042
DEN|2145117|572|18042
LAT|453696|573|18042
NOR|2250538|574|18042
AUS|2143435|575|18042
FIN|946201|576|18042
BUL|1353341|577|18042
BEN|2520025|577|18042
ISL|206088|579|18042
ENG|1701623|580|18042
SWE|1662980|581|18042
PER|1978869|582|18042
POR|1293074|583|18042
INA|453648|584|18042
ENG|2032769|584|18042
MDV|1127381|584|18042
THA|1637622|584|18042
IND|439462|584|18042
IND|673308|589|18042
GER|1042726|590|18042
NZL|113969|591|18042
PAK|117038|591|18042
NOR|947576|591|18042
NEP|1242977|591|18042
PHI|1138881|591|18042
SGP|1567091|591|18042
NEP|2288120|591|18042
THA|2220877|591|18042
TTO|2599195|591|18042
NEP|2570404|591|18042
CZE|1256674|601|18042
INA|1285986|602|18042
IND|1607796|602|18042
RUS|1250103|604|18042
FRA|357677|605|18042
IRL|355070|606|18042
MEX|208087|607|18042
ESA|350709|607|18042
ESA|1183058|607|18042
GUA|1966990|607|18042
CHN|1688075|611|18042
AUT|384841|612|18042
GRE|650030|613|18042
INA|1148308|614|18042
IND|2781695|614|18042
NOR|1978563|616|18042
ISL|1930491|617|18042
ENG|363261|618|18042
NOR|1282443|619|18042
DEN|318799|620|18042
ISL|278628|621|18042
EST|1315031|622|18042
DEN|1256168|623|18042
POL|1575568|624|18042
UKR|1943013|625|18042
GER|1194017|626|18042
MAR|116383|627|18042
RSA|148458|627|18042
IRI|162132|627|18042
IRI|220019|627|18042
BOT|280296|627|18042
BOT|280302|627|18042
JPN|314826|627|18042
GER|314864|627|18042
IND|349923|627|18042
ETH|355290|627|18042
JOR|361270|627|18042
AUS|437109|627|18042
NGR|1148989|627|18042
THA|1194768|627|18042
THA|1144076|627|18042
NGR|1245787|627|18042
NGR|1245821|627|18042
NGR|1250908|627|18042
BRA|1226329|627|18042
IRI|1423315|627|18042
GHA|1480927|627|18042
ZAM|1709021|627|18042
INA|1192558|627|18042
UGA|1607645|627|18042
CUB|1983101|627|18042
CUB|1983173|627|18042
CIV|1991703|627|18042
JPN|1023006|627|18042
JPN|2157388|627|18042
IND|1566136|627|18042
IRI|2389332|627|18042
IRI|2389729|627|18042
IRI|2389503|627|18042
IRI|2389461|627|18042
BRA|2466009|627|18042
PER|2127235|627|18042
ESP|1305002|627|18042
NGR|2522208|627|18042
GHA|2524011|627|18042
NZL|2458212|627|18042
UKR|2622837|627|18042
AUS|1687422|627|18042
AUS|935074|627|18042
ETH|2634779|627|18042
PAR|2693583|627|18042
BRA|2691249|627|18042
PAR|2693874|627|18042
INA|2125151|627|18042
DOM|1569962|627|18042
DOM|1569889|627|18042
DOM|2185998|627|18042
DOM|2694637|627|18042
MAS|1701500|627|18042
THA|1658629|627|18042
THA|2646572|627|18042
PAK|2723616|627|18042
TTO|2122799|627|18042
BOT|2784310|627|18042
BOT|2784445|627|18042
IRL|1981064|627|18042
RSA|2802162|627|18042
MAD|1517395|627|18042
USA|2818472|627|18042
IRI|2779987|627|18042
IRI|2779942|627|18042
ALG|2743838|627|18042
TPE|2536310|627|18042
TPE|2199898|627|18042
BRA|1509521|627|18042
JPN|2916175|627|18042
JPN|2630741|627|18042
JPN|2165263|627|18042
JPN|2917605|627|18042
USA|2854418|627|18042
ARG|2786386|627|18042
ARG|982479|627|18042
INA|935640|627|18042
CMR|2993176|627|18042
CIV|2946191|627|18042
CIV|2516179|627|18042
UGA|163532|707|18042
IND|349941|708|18042
PER|1483384|709|18042
GRE|1143302|710|18042
SWE|1354353|711|18042
IRL|1351258|712|18042
HKG|362700|713|18042
FIN|1662494|714|18042
GER|1974905|715|18042
CAN|2049658|716|18042
USA|2845374|717|18042
GRE|113992|718|18042
ENG|1256380|718|18042
POR|1293010|720|18042
MDV|328353|721|18042
SUI|356060|721|18042
TUR|1333753|721|18042
GRE|1475220|721|18042
THA|1646972|721|18042
AUT|220243|726|18042
MAC|1344952|727|18042
SVK|879645|728|18042
DEN|2175675|729|18042
IND|349943|730|18042
ISR|858542|731|18042
DEN|1460868|732|18042
UKR|1584474|732|18042
ISR|1251812|734|18042
ROU|1571476|734|18042
ENG|1533787|734|18042
BRA|199934|737|18042
BLR|1010890|738|18042
IRL|665244|739|18042
ENG|2709453|740|18042
SWE|2383214|741|18042
KOR|1025544|742|18042
FRA|1989180|742|18042
FRA|1995870|742|18042
KOR|1208468|742|18042
KOR|2780800|742|18042
KOR|2840725|742|18042
RUS|465310|748|18042
THA|169011|749|18042
SWE|728413|749|18042
IND|2273143|749|18042
DEN|2146370|752|18042
POR|2005094|753|18042
POL|1246432|754|18042
POL|1575604|754|18042
GRE|2061398|754|18042
RUS|2198518|757|18042
ROU|113797|758|18042
SWE|108446|758|18042
ARG|417617|758|18042
CUB|1983065|758|18042
CMR|1160828|758|18042
CUB|2429761|758|18042
CUB|2429848|758|18042
CUB|2429806|758|18042
BEN|1531892|758|18042
COD|1727749|758|18042
ALG|2860540|758|18042
TPE|2148115|758|18042
ARG|2777900|758|18042
ARG|2935092|758|18042
ARG|2778808|758|18042
NED|1947634|758|18042
PER|2966601|758|18042
PER|2966647|758|18042
BEN|3002319|758|18042
BEN|2519743|758|18042
HUN|108768|778|18042
SUI|276952|779|18042
FIN|391552|780|18042
POL|1356303|780|18042
SVK|2276737|782|18042
DEN|2151481|783|18042
SUR|108689|784|18042
UGA|118542|784|18042
MEX|118226|784|18042
EGY|164700|784|18042
MDV|189586|784|18042
MAR|194231|784|18042
MAR|194233|784|18042
INA|200293|784|18042
TPE|211398|784|18042
ALG|220031|784|18042
AUS|251984|784|18042
BOT|280300|784|18042
INA|339281|784|18042
TTO|348439|784|18042
ETH|355276|784|18042
ETH|355281|784|18042
ETH|355289|784|18042
AUS|391594|784|18042
ZAM|674098|784|18042
TTO|669081|784|18042
DOM|854591|784|18042
MAR|888869|784|18042
ZAM|664879|784|18042
INA|853842|784|18042
GRE|650088|784|18042
TUR|1222480|784|18042
SUR|879334|784|18042
ZAM|1259639|784|18042
NEP|1310965|784|18042
IND|1310639|784|18042
GRE|1475252|784|18042
GRE|1143231|784|18042
GRE|1146493|784|18042
GUY|641689|784|18042
SUR|1578523|784|18042
GUA|1473602|784|18042
ESA|1584298|784|18042
MGL|1545527|784|18042
MGL|1117877|784|18042
MGL|1524494|784|18042
MGL|1615521|784|18042
ETH|1248101|784|18042
ETH|1610887|784|18042
EGY|1657094|784|18042
EGY|1656986|784|18042
EGY|1709379|784|18042
EGY|1659467|784|18042
SUR|1704690|784|18042
ZAM|1700110|784|18042
ZAM|1724930|784|18042
MEX|1111480|784|18042
UGA|221035|784|18042
UGA|1607573|784|18042
UGA|1157496|784|18042
UGA|1608034|784|18042
JAM|1457597|784|18042
JAM|1572728|784|18042
GRE|1483658|784|18042
TUR|1334428|784|18042
MEX|1080134|784|18042
POL|1260312|784|18042
ETH|2164468|784|18042
ETH|2164331|784|18042
ETH|2164289|784|18042
PAK|2179110|784|18042
PAK|2179152|784|18042
PAK|2179026|784|18042
EGY|2180431|784|18042
DOM|1570214|784|18042
DOM|1569807|784|18042
ZAM|2274807|784|18042
ZAM|2274723|784|18042
MAC|1275212|784|18042
NEP|2288208|784|18042
