country|date|pid|rank|week
GUA|6/13/2013|93777|374|5060
MEX|6/13/2013|98186|374|5060
HUN|6/13/2013|92453|377|5060
SWE|6/13/2013|65424|378|5060
PER|6/13/2013|14334|379|5060
FRA|6/13/2013|13075|380|5060
NOR|6/13/2013|61749|381|5060
GER|6/13/2013|78428|382|5060
MLT|6/13/2013|91527|383|5060
CYP|6/13/2013|71421|384|5060
TPE|6/13/2013|54142|384|5060
JPN|6/13/2013|56251|386|5060
USA|6/13/2013|52789|386|5060
RUS|6/13/2013|95848|386|5060
RUS|6/13/2013|90481|386|5060
RUS|6/13/2013|56813|386|5060
EGY|6/13/2013|65008|391|5060
ARG|6/13/2013|97169|392|5060
INA|6/13/2013|65540|393|5060
RUS|6/13/2013|65304|394|5060
THA|6/13/2013|37639|394|5060
AUS|6/13/2013|54148|394|5060
FRA|6/13/2013|52982|394|5060
RUS|6/13/2013|61603|394|5060
INA|6/13/2013|61665|394|5060
INA|6/13/2013|71082|394|5060
IRL|6/13/2013|98058|394|5060
UGA|6/13/2013|66881|394|5060
ISR|6/13/2013|65089|394|5060
NZL|6/13/2013|78872|404|5060
AUS|6/13/2013|64522|405|5060
SYR|6/13/2013|97477|406|5060
KOR|6/13/2013|90286|406|5060
GER|6/13/2013|64302|408|5060
NZL|6/13/2013|25844|409|5060
PUR|6/13/2013|60278|409|5060
NZL|6/13/2013|79303|409|5060
RSA|6/13/2013|46778|412|5060
THA|6/13/2013|85719|413|5060
AUT|6/13/2013|63829|414|5060
TPE|6/13/2013|54128|415|5060
USA|6/13/2013|53746|415|5060
MGL|6/13/2013|50003|415|5060
MGL|6/13/2013|45225|415|5060
TPE|6/13/2013|15753|415|5060
KOR|6/13/2013|67880|415|5060
NOR|6/13/2013|67609|415|5060
JPN|6/13/2013|93608|415|5060
KOR|6/13/2013|99945|415|5060
USA|6/13/2013|85775|415|5060
KOR|6/13/2013|95220|415|5060
NZL|6/13/2013|76229|415|5060
KOR|6/13/2013|79154|415|5060
HUN|6/13/2013|74051|428|5060
BUL|6/13/2013|15098|429|5060
MAS|6/13/2013|80705|430|5060
RUS|6/13/2013|90786|431|5060
CZE|6/13/2013|54455|432|5060
BAR|6/13/2013|54547|433|5060
NED|6/13/2013|89454|433|5060
ECU|6/13/2013|95277|433|5060
GUA|6/13/2013|57219|433|5060
UKR|6/13/2013|31914|437|5060
THA|6/13/2013|46877|437|5060
ENG|6/13/2013|65507|437|5060
KOR|6/13/2013|42531|437|5060
BRA|6/13/2013|14038|437|5060
PER|6/13/2013|63012|437|5060
UKR|6/13/2013|39872|437|5060
KOR|6/13/2013|61377|437|5060
AUS|6/13/2013|99445|437|5060
BRA|6/13/2013|71748|437|5060
BUL|6/13/2013|87823|437|5060
SUI|6/13/2013|96019|437|5060
KOR|6/13/2013|68687|437|5060
JPN|6/13/2013|65751|437|5060
FRA|6/13/2013|99232|437|5060
DEN|6/13/2013|82707|437|5060
KOR|6/13/2013|74812|437|5060
INA|6/13/2013|82039|437|5060
SRI|6/13/2013|96090|437|5060
HKG|6/13/2013|61435|456|5060
SUI|6/13/2013|73669|457|5060
GRE|6/13/2013|98532|458|5060
IRI|6/13/2013|97634|458|5060
JOR|6/13/2013|87978|458|5060
GRE|6/13/2013|94906|458|5060
EGY|6/13/2013|61746|458|5060
DEN|6/13/2013|85041|463|5060
SEY|6/13/2013|42674|464|5060
MAS|6/13/2013|63539|465|5060
MAS|6/13/2013|56375|465|5060
INA|6/13/2013|65826|467|5060
AUS|6/13/2013|73559|468|5060
SUR|6/13/2013|98108|468|5060
UGA|6/13/2013|48833|468|5060
DEN|6/13/2013|73916|468|5060
GUA|6/13/2013|73420|468|5060
GUA|6/13/2013|99576|468|5060
BAR|6/13/2013|14837|468|5060
GUA|6/13/2013|94995|468|5060
USA|6/13/2013|89624|468|5060
CYP|6/13/2013|96417|468|5060
MAS|6/13/2013|69012|468|5060
BRA|6/13/2013|71483|468|5060
POL|6/13/2013|71557|480|5060
IND|6/13/2013|90431|481|5060
FIN|6/13/2013|59844|482|5060
MAC|6/13/2013|77857|483|5060
POL|6/13/2013|45656|484|5060
NED|6/13/2013|71330|484|5060
RUS|6/13/2013|49317|484|5060
ENG|6/13/2013|34191|484|5060
DEN|6/13/2013|96405|484|5060
ENG|6/13/2013|89068|484|5060
ESP|6/13/2013|83558|484|5060
MEX|6/13/2013|36245|491|5060
BRA|6/13/2013|95963|491|5060
PUR|6/13/2013|93529|491|5060
BRA|6/13/2013|76849|491|5060
PUR|6/13/2013|78403|491|5060
ARG|6/13/2013|90876|491|5060
LUX|6/13/2013|52214|497|5060
DEN|6/13/2013|91096|498|5060
FRA|6/13/2013|89836|498|5060
SGP|6/13/2013|59237|500|5060
MDV|6/13/2013|78019|501|5060
MEX|6/13/2013|85514|502|5060
ROU|6/13/2013|80494|503|5060
NOR|6/13/2013|50984|504|5060
SRI|6/13/2013|15327|504|5060
PER|6/13/2013|13182|504|5060
MEX|6/13/2013|51917|504|5060
RUS|6/13/2013|74334|508|5060
SEY|6/13/2013|35438|508|5060
RUS|6/13/2013|86321|508|5060
RUS|6/13/2013|20987|508|5060
CAN|6/13/2013|56946|508|5060
RUS|6/13/2013|79933|508|5060
RUS|6/13/2013|79725|508|5060
RUS|6/13/2013|61600|508|5060
CAN|6/13/2013|65596|508|5060
ETH|6/13/2013|61420|508|5060
BOT|6/13/2013|66474|508|5060
RSA|6/13/2013|76014|508|5060
RUS|6/13/2013|57780|508|5060
CAN|6/13/2013|86226|508|5060
CAN|6/13/2013|65542|508|5060
ETH|6/13/2013|92732|508|5060
RSA|6/13/2013|37044|508|5060
AUS|6/13/2013|72111|508|5060
MAS|6/13/2013|65763|526|5060
SRB|6/13/2013|26029|527|5060
NED|6/13/2013|85574|528|5060
BUL|6/13/2013|94913|529|5060
GER|6/13/2013|82641|529|5060
ISL|6/13/2013|77397|531|5060
ITA|6/13/2013|78570|531|5060
ENG|6/13/2013|56958|533|5060
ENG|6/13/2013|77145|533|5060
ESP|6/13/2013|87111|533|5060
POL|6/13/2013|67908|536|5060
SVK|6/13/2013|60089|537|5060
SCO|6/13/2013|66891|538|5060
KOR|6/13/2013|71305|539|5060
TUR|6/13/2013|60499|540|5060
JOR|6/13/2013|86017|540|5060
GER|6/13/2013|67857|542|5060
SVK|6/13/2013|91157|543|5060
POL|6/13/2013|97911|544|5060
RUS|6/13/2013|25900|545|5060
SWE|6/13/2013|65877|545|5060
BAR|6/13/2013|15044|545|5060
USA|6/13/2013|51870|545|5060
POL|6/13/2013|54544|545|5060
ROU|6/13/2013|51585|545|5060
CYP|6/13/2013|96890|545|5060
RSA|6/13/2013|41641|545|5060
RSA|6/13/2013|46779|545|5060
KEN|6/13/2013|98243|545|5060
UGA|6/13/2013|70919|545|5060
FIN|6/13/2013|53444|545|5060
INA|6/13/2013|24370|545|5060
INA|6/13/2013|67996|545|5060
ISL|6/13/2013|65852|545|5060
BOT|6/13/2013|87582|545|5060
ENG|6/13/2013|38336|545|5060
INA|6/13/2013|93338|545|5060
KOR|6/13/2013|97651|545|5060
IRI|6/13/2013|53296|545|5060
IRI|6/13/2013|69729|545|5060
BRA|6/13/2013|51748|545|5060
UGA|6/13/2013|86584|545|5060
AUS|6/13/2013|56152|545|5060
MRI|6/13/2013|51541|545|5060
MRI|6/13/2013|84390|545|5060
EGY|6/13/2013|71069|545|5060
NED|6/13/2013|84742|545|5060
MDV|6/13/2013|81991|545|5060
MDV|6/13/2013|67242|545|5060
IND|6/13/2013|57564|545|5060
INA|6/13/2013|62146|545|5060
INA|6/13/2013|62005|545|5060
INA|6/13/2013|63954|545|5060
INA|6/13/2013|90278|545|5060
VEN|6/13/2013|87657|545|5060
GUA|6/13/2013|75025|545|5060
VEN|6/13/2013|56650|545|5060
BRA|6/13/2013|93507|545|5060
BRA|6/13/2013|60962|545|5060
LAT|6/13/2013|57309|545|5060
CYP|6/13/2013|61474|545|5060
KOR|6/13/2013|72316|545|5060
SCO|6/13/2013|64888|545|5060
BOT|6/13/2013|97036|545|5060
MRI|6/13/2013|73055|545|5060
IRI|6/13/2013|68768|545|5060
IRI|6/13/2013|88751|545|5060
UGA|6/13/2013|61158|545|5060
POL|6/13/2013|99739|545|5060
