tournament_end|tournament_id|tournament_location|tournament_name|tournament_start|tournament_type
2014-07-28 00:00|36AD3DA6-E2E2-4727-9338-8FF450104898|Glasgow, Scotland|Glasgow 2014 Commonwealth Games - Mixed Team Event|2014-07-24 00:00|BWF Events
2014-07-29 00:00|B4E3CC2C-F218-41F5-8596-0F97A87FC3B0|Córdoba, Spain|13th  World University Badminton Championship-Individual Event|2014-07-27 00:00|BWF Events
2014-08-03 00:00|F2F55FF5-1F2C-4ED2-8023-7EB618364EEB|Glasgow, Scotland|CWG Glasgow 2014|2014-07-29 00:00|BWF Events
2014-08-10 23:59|49C4127A-741E-479D-9F68-F3F359D263C2|Rio De Janeiro, Brazil|Brasil Grand Prix 2014|2014-08-05 00:00|Grand Prix
2014-08-15 00:00|2328E4C4-FAB2-450C-B596-C74CE80DBEB3|Kingston , Jamaica|Carebaco Junior International U19 2014|2014-08-11 00:00|Junior Future Series
2014-08-16 23:59|2CD95E52-1CC4-484D-84EB-BDDFC4B1C58A|Jakarta, Indonesia|Astec Indonesia International Challenge 2014|2014-08-12 00:00|none
2014-08-17 00:00|41052FEC-16D2-42FC-913C-98D48C99EB46|Temuco, Chile|Chile Internacional 2014|2014-08-13 00:00|International Series
2014-08-17 00:00|5D597B2D-67AD-4B79-80E7-F92439B095EA|Pazardhzik, Bulgaria|Bulgarian Junior International 2014|2014-08-15 00:00|Junior International Series
2014-08-22 00:00|6DAC8D51-69B8-4194-B88C-8F157F3CBA20|Nanjing, China|2014 Youth Olympic Games|2014-08-17 00:00|BWF Events
2014-08-21 00:00|EC86A240-5A66-4B14-B5BD-B7093EE3E314|Sofia, Bulgaria|Bulgarian Eurasia Open 2014|2014-08-18 00:00|International Series
2014-08-23 00:00|D46FA237-2007-45B2-B403-B8137C1A29CE|Singapore, Singapore|OUE Singapore International Series 2014|2014-08-19 00:00|International Series
2014-08-24 00:00|039748F1-AA5F-4682-86C6-5A82F1F40712|Trencin, Slovakia|Yonex Slovak Open 2014|2014-08-21 00:00|Future Series
2014-08-31 23:59|09C98312-A11A-4F8B-9CF9-0926A1777ADA|Copenhagen , Denmark|Li Ning BWF World Championships 2014|2014-08-25 00:00|BWF Events
2014-08-31 00:00|FE9C7C69-987B-4ABB-80CB-3707AD38DFC1|Surabaya, Indonesia|Jaya Raya Indonesia Junior International Challenge 2014|2014-08-26 00:00|Junior International Grand Prix
2014-08-30 00:00|AEE76FEF-775A-402B-9575-B9339F506AAE|Dnepropetrovsk, Ukraine|Ukraine Junior International Tournament 2014|2014-08-27 00:00|Junior International Series
2014-09-07 00:00|C36BBEFE-B7D9-4EC8-B46C-821960390346|Hochiminh City, Vietnam|Yonex Sunrise Vietnam GP Open 2014|2014-09-01 00:00|Grand Prix
2014-09-07 00:00|3B18B39A-4C63-4268-939F-3CF3FD744EA5|Guatemala, Guatemala|Huawei Guatemala Internacional 2014|2014-09-03 00:00|International Challenge
2014-09-07 00:00|3FA82AE8-6FFA-4D5A-8E3E-A25CA6A49D40|Kharkiv, Ukraine|Babolat Kharkov International 2014|2014-09-04 00:00|International Challenge
2014-09-07 00:00|1B578640-1896-489E-B57B-2247C50F02AC|Pune, India|Sushant Chipalkatti Memorial India Junior International Badminton Championships 2014|2014-09-04 00:00|Junior International Grand Prix
2014-09-07 00:00|A2525421-DF5E-4E2B-96EF-385836EBA9F8|Dublin , Ireland|Carlton Irish U19 Open 2014|2014-09-05 00:00|Junior International Series
2014-09-14 00:00|8D435880-97B8-47E4-B42B-1C14D11C3A94|Palembang, Indonesia|Yonex-Sunrise Indonesian Masters 2014|2014-09-09 00:00|Grand Prix Gold
2014-09-13 00:00|29A6D147-5959-42F6-B6E1-FCF72647DB1A|Leuven, Belgium|Yonex Belgian International 2014|2014-09-10 00:00|International Challenge
2014-09-14 23:59|560DBEB1-5064-4366-9EC5-94A195F77A9E|Los Narejos, Los Alcázares, Spain|European Para-Badminton Championships 2014|2014-09-11 00:00|none
2014-09-14 00:00|FC9789BA-F967-45EC-A4F3-B4F11B9F4851|Klaipeda, Lithuania|Yonex Lithuanian Junior 2014|2014-09-12 00:00|Junior International Series
2014-09-21 00:00|6B7BDB75-CF4F-4279-BB36-CEDFB5844F87|Auckland, New Zealand|Fernbaby Auckland International 2014|2014-09-18 00:00|International Series
2014-09-21 23:59|0710D060-80C5-4DF6-B379-10606E5D1C18|Lubin, Poland|Polish International 2014|2014-09-18 00:00|none
2014-09-21 00:00|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|Herstal, Belgium|YONEX BELGIAN JUNIOR 2014|2014-09-19 00:00|Junior International Series
2014-09-23 00:00|6E8713FB-2F93-4C39-8F7F-88F49AA2B03E|Incheon, Korea|17th Asian Games Incheon 2014|2014-09-19 00:00|BWF Events
2014-09-21 23:59|56C7C8F3-D1E1-485F-ACE9-F98FC74A4526|bracigovo, Bulgaria|1 Национален турнир по бадминтон за купата на кмета на община Брацигово|2014-09-20 00:00|none
2014-09-27 23:59|79483FFB-D0DC-492B-9454-41DE82D349F3|Caldas da Rainha, Portugal|2014 European Senior Championships|2014-09-21 00:00|none
2014-09-27 00:00|4217C6BD-A46B-4829-9C4D-C50800E0EE2D|Sydney, Australia|2014 NBC Sydney International|2014-09-24 00:00|International Challenge
