country|pid|rank|week
CMR|2992946|949|18173
CMR|1160768|949|18173
CMR|2993084|949|18173
CMR|2993130|949|18173
CMR|2528503|949|18173
ECU|2472413|949|18173
IND|1693245|949|18173
MGL|2516855|949|18173
USA|3077206|949|18173
MGL|1723629|949|18173
RUS|339235|1054|18173
BEL|2517888|1055|18173
EST|216642|1056|18173
INA|437093|1057|18173
SCO|1714738|1058|18173
RUS|108126|1059|18173
ENG|114027|1059|18173
PYF|163317|1059|18173
THA|168991|1059|18173
RUS|193640|1059|18173
MAS|199886|1059|18173
RUS|256032|1059|18173
CAN|436986|1059|18173
CAN|436994|1059|18173
RUS|1524329|1059|18173
CAN|1515795|1059|18173
RUS|2164205|1059|18173
ESA|2132458|1059|18173
RUS|2539348|1059|18173
RUS|2539483|1059|18173
CHN|2902105|1059|18173
CHN|2481133|1059|18173
CHN|2866427|1059|18173
CHN|1929379|1059|18173
CHN|2758056|1059|18173
DEN|1649250|1079|18173
MAS|459248|1080|18173
IND|1421785|1080|18173
ENG|362673|1082|18173
LTU|1530146|1083|18173
RUS|141160|1084|18173
BAN|284377|1084|18173
INA|658403|1084|18173
AUS|1184763|1084|18173
IND|1734261|1084|18173
IND|2357159|1084|18173
INA|2078083|1084|18173
INA|2078300|1084|18173
UKR|351882|1092|18173
ESP|1304966|1093|18173
DEN|1966393|1094|18173
GER|2573599|1094|18173
UKR|143604|1096|18173
UKR|1207097|1096|18173
RUS|465033|1098|18173
AZE|143601|1099|18173
THA|1199798|1099|18173
INA|2084460|1099|18173
EST|108153|1102|18173
THA|109461|1102|18173
FRA|198644|1102|18173
BEN|1150358|1102|18173
MAS|669221|1102|18173
IND|2276041|1102|18173
MYA|2058868|1102|18173
CAN|1310588|1109|18173
INA|2510386|1109|18173
BUL|275586|1111|18173
GRE|1135622|1111|18173
ENG|1257453|1111|18173
DEN|1649399|1111|18173
CZE|1177115|1115|18173
EST|369657|1116|18173
ENG|1960647|1116|18173
TPE|1283528|1118|18173
IRI|306481|1119|18173
IRI|1423147|1119|18173
UKR|1689229|1119|18173
CZE|2032383|1122|18173
CYP|277418|1123|18173
ISR|1207512|1124|18173
IND|190420|1125|18173
IND|289097|1125|18173
INA|1148294|1125|18173
INA|658432|1125|18173
VIE|1452166|1125|18173
