t_category|t_city|t_country|t_name|t_prize|t_web_link|t_year|t_id
Continental Junior Championships|Auckland|NZL|X-TRM Oceania Junior Team Championships 2015|none|https://bwfbadminton.com/results/2221/x-trm-oceania-junior-team-championships-2015/|2015|2221
International Challenge|Wien|AUT|Austrian Open 2015|$15,000|https://bwfbadminton.com/results/2222/austrian-open-2015/|2015|2222
International Series|Kampala|UGA|Uganda International 2015|$5,000|https://bwfbadminton.com/results/2223/uganda-international-2015/|2015|2223
International Series|Lima|PER|I Peru International Series 2015|$5,000|https://bwfbadminton.com/results/2224/i-peru-international-series-2015/|2015|2224
Junior International Series|Gijon|ESP|X Spanish Junior 2015|none|https://bwfbadminton.com/results/2225/x-spanish-junior-2015/|2015|2225
Grand Prix Gold|MulheimanderRuhr|GER|Yonex German Open 2015|$120,000|https://bwfbadminton.com/results/2226/yonex-german-open/|2015|2226
Junior Future Series|LIMA|PER|II Peru Junior U19 International 2015|none|https://bwfbadminton.com/results/2227/ii-peru-junior-u19-international-2015/|2015|2227
Junior International Challenge|Haarlem|NED|Yonex Dutch Junior 2015|none|https://bwfbadminton.com/results/2228/yonex-dutch-junior-2015/|2015|2228
Junior Future Series|Sopó|COL|I Colombia Junior International 2015|none|https://bwfbadminton.com/results/2229/i-colombia-junior-international-2015/|2015|2229
World Superseries Premier|Birmingham|ENG|Yonex All England Open 2015|$500,000|https://bwfbadminton.com/results/2270/yonex-all-england-open/|2015|2270
Junior International Challenge|Berlin|GER|YONEX German Junior 2015|none|https://bwfbadminton.com/results/2230/yonex-german-junior-2015/|2015|2230
International Series|CaldasdaRainha|POR|50th Portuguese International 2015|$5,000|https://bwfbadminton.com/results/2231/50th-portuguese-international-2015/|2015|2231
Grand Prix Gold|Basel|SUI|Swiss Open 2015|$120,000|https://bwfbadminton.com/results/2232/swiss-open-2015/|2015|2232
International Challenge|FOZDEIGUAÇU|BRA|III Mercosul International 2015|$15,000|https://bwfbadminton.com/results/2233/iii-mercosul-international-2015/|2015|2233
International Series|Timisoara|ROU|Romanian International 2015|$5,000|https://bwfbadminton.com/results/2234/romanian-international-2015/|2015|2234
Junior International Series|LidodiOstia-Rome|ITA|Yonex Italian Junior 2015|none|https://bwfbadminton.com/results/2235/yonex-italian-junior-2015/|2015|2235
International Challenge|Hanoi|VIE|Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2015|$15,000|https://bwfbadminton.com/results/2236/ciputra-hanoi-yonex-sunrise-vietnam-international-challenge-2015/|2015|2236
International Challenge|Arlamow|POL|41st Yonex Polish Open 2015|$15,000|https://bwfbadminton.com/results/2271/41st-yonex-polish-open-2015/|2015|2271
International Series|Kingston|JAM|Jamaica International 2015|$5,000|https://bwfbadminton.com/results/2273/jamaica-international-2015/|2015|2273
Junior International Series|Uppsala|SWE|Fyrisfjädern Uppsala Junior 2015|none|https://bwfbadminton.com/results/2237/fyrisfjaedern-uppsala-junior-2015/|2015|2237
World Superseries|NewDelhi|IND|Yonex Sunrise India Open 2015|$275,000|https://bwfbadminton.com/results/2272/yonex-sunrise-india-open/|2015|2272
International Series|LaHabana|CUB|XVI Giraldilla 2015|$5,000|https://bwfbadminton.com/results/2238/xvi-giraldilla-2015/|2015|2238
International Challenge|Orleans|FRA|Orleans International 2015|$15,000|https://bwfbadminton.com/results/2239/orleans-international-2015/|2015|2239
Continental Junior Championships|Lubin|POL|2015 European Junior Team Championships|none|https://bwfbadminton.com/results/2240/2015-european-junior-team-championships/|2015|2240
Continental Junior Championships|Lubin|POL|2015 European Junior Championships|none|https://bwfbadminton.com/results/2241/2015-european-junior-championships/|2015|2241
World Superseries Premier|KualaLumpur|MAS|Maybank Malaysia Open 2015|$500,000|https://bwfbadminton.com/results/2274/maybank-malaysia-open/|2015|2274
International Challenge|Osaka|JPN|Osaka International Challenge Badminton Championships 2015|$15,000|https://bwfbadminton.com/results/2287/osaka-international-challenge-badminton-championships-2015/|2015|2287
International Challenge|Vantaa|FIN|Finnish Open 2015|$15,000|https://bwfbadminton.com/results/2275/finnish-open-2015/|2015|2275
World Superseries|SingaporeCity|SGP|OUE Singapore Open 2015|$300,000|https://bwfbadminton.com/results/2278/oue-singapore-open/|2015|2278
International Series|Zagreb|CRO|Victor Croatian International 2015|$5,000|https://bwfbadminton.com/results/2243/victor-croatian-international-2015/|2015|2243
Junior Future Series|Jalisco|MEX|II YONEX MEXICO International U19 Championships 2015|none|https://bwfbadminton.com/results/2305/ii-yonex-mexico-international-u19-championships-2015/|2015|2305
Grand Prix Gold|Changzhou|CHN|Bonny China Masters 2015|$250,000|https://bwfbadminton.com/results/2244/bonny-china-masters/|2015|2244
International Series|CentraJava|INA|USM Li Ning International Series 2015|$10,000|https://bwfbadminton.com/results/2290/usm-li-ning-international-series-2015/|2015|2290
Junior Future Series|CiudaddeGuatemala|GUA|II Guatemala Junior International 2015|none|https://bwfbadminton.com/results/2245/ii-guatemala-junior-international-2015/|2015|2245
International Series|Wateringen|NED|16th Victor Dutch International 2015|$10,000|https://bwfbadminton.com/results/2246/16th-victor-dutch-international-2015/|2015|2246
Future Series|Hamilton|NZL|Mitre 10 MEGA Waikato International 2015|none|https://bwfbadminton.com/results/2306/mitre-10-mega-waikato-international-2015/|2015|2306
BWF Events|Wuhan|CHN|Dong Feng Citroen Badminton Asia Championships 2015|none|https://bwfbadminton.com/results/2510/dong-feng-citroen-badminton-asia-championships-2015/|2015|2510
International Challenge|Lima|PER|XX Peru Internacional 2015|$15,000|https://bwfbadminton.com/results/2247/xx-peru-internacional-2015/|2015|2247
Junior International Series|Sidirokastro|GRE|Hellas Junior 2015|none|https://bwfbadminton.com/results/2288/hellas-junior-2015/|2015|2288
Grand Prix Gold|Auckland|NZL|SKYCITY New Zealand Open 2015|$120,000|https://bwfbadminton.com/results/2291/skycity-new-zealand-open/|2015|2291
International Series|Temuco|CHI|Chile International 2015|$5,000|https://bwfbadminton.com/results/2248/chile-international-2015/|2015|2248
Junior International Series|RishonLEZion|ISR|Li-Ning Israel Junior 2015|none|https://bwfbadminton.com/results/2276/li-ning-israel-junior-2015/|2015|2276
International Series|Sidirokastro|GRE|Hellas International 2015|$5,000|https://bwfbadminton.com/results/2292/hellas-international-2015/|2015|2292
International Series|Trang|THA|Smiling Fish Thailand International Series 2015|$5,000|https://bwfbadminton.com/results/2307/smiling-fish-thailand-international-series-2015/|2015|2307
International Series|Medvode|SLO|Slovenia International 2015|$5,000|https://bwfbadminton.com/results/2289/slovenia-international-2015/|2015|2289
BWF Events|Dongguan|CHN|VIVO BWF Sudirman Cup 2015|none|https://bwfsudirmancup.bwfbadminton.com/results/2310/vivo-bwf-sudirman-cup-2015/|2015|2310
International Series|SaintAgustine|TTO|Trinidad & Tobago International 2015|$5,000|https://bwfbadminton.com/results/2295/trinidad-tobago-international-2015/|2015|2295
International Challenge|Madrid|ESP|XXVIII Spanish International 2015|$15,000|https://bwfbadminton.com/results/2311/xxviii-spanish-international-2015/|2015|2311
World Superseries|Sydney|AUS|The Star Australian Open 2015|$750,000|https://bwfbadminton.com/results/2279/the-star-australian-open/|2015|2279
Future Series|Riga|LAT|Yonex Riga International 2015|none|https://bwfbadminton.com/results/2312/yonex-riga-international-2015/|2015|2312
World Superseries Premier|Jakarta|INA|BCA Indonesia Open 2015|$800,000|https://bwfbadminton.com/results/2280/bca-indonesia-open/|2015|2280
International Challenge|Colombo|SRI|Sri Lanka International Challenge 2015|$15,000|https://bwfbadminton.com/results/2430/sri-lanka-international-challenge-2015/|2015|2430
International Series|SantoDomingo|DOM|Santo Domingo Open 2015|$5,000|https://bwfbadminton.com/results/2296/santo-domingo-open-2015/|2015|2296
Future Series|Kaunas|LTU|Yonex Lithuanian International 2015|none|https://bwfbadminton.com/results/2313/yonex-lithuanian-international-2015/|2015|2313
BWF Events|Tours|FRA|2015 European Club Championships|none|https://bwfbadminton.com/results/2395/2015-european-club-championships/|2015|2395
Future Series|SanJuan|PUR|Puerto Rico International - Pedro Blach Memorial CANCELLED|none|https://bwfbadminton.com/results/2297/puerto-rico-international-pedro-blach-memorial-cancelled/|2015|2297
International Series|RoseHill|MRI|Yonex Mauritius International 2015|$5,000|https://bwfbadminton.com/results/2314/yonex-mauritius-international-2015/|2015|2314
Grand Prix Gold|Brentwood|USA|Yonex Suffolk County Community College US Open 2015|$120,000|https://bwfbadminton.com/results/2298/yonex-suffolk-county-community-college-us-open/|2015|2298
International Series|Nairobi|KEN|Kenya International 2015|$5,000|https://bwfbadminton.com/results/2315/kenya-international-2015/|2015|2315
Continental Individual Championships|Baku|AZE|2015 Baku European Games - Badminton|none|https://bwfbadminton.com/results/2512/2015-baku-european-games-badminton/|2015|2512
Grand Prix|Calgary|CAN|Yonex Canada Open 2015|$50,000|https://bwfbadminton.com/results/2410/yonex-canada-open/|2015|2410
Continental Junior Championships|Bangkok|THA|SCG Badminton Asia Junior Championships 2015|none|https://bwfbadminton.com/results/2549/scg-badminton-asia-junior-championships-2015/|2015|2549
International Challenge|Gatchina|RUS|White Nights 2015|$15,000|https://bwfbadminton.com/results/2341/white-nights-2015/|2015|2341
Continental Junior Championships|Bangkok|THA|SCG Badminton Asia Junior Championship 2015 Individual event|none|https://bwfbadminton.com/results/2431/scg-badminton-asia-junior-championship-2015-individual-event/|2015|2431
International Series|Uralsk|KAZ|Condensate Apacs Kazakhstan International Series 2015|$5,000|https://bwfbadminton.com/results/2432/condensate-apacs-kazakhstan-international-series-2015/|2015|2432
Junior International Series|Gatchina|RUS|Russian Junior White Nights 2015|none|https://bwfbadminton.com/results/2342/russian-junior-white-nights-2015/|2015|2342
Continental Individual Championships|Toronto|CAN|XVII Pan Am Games Toronto 2015|none|https://bwfbadminton.com/results/2249/xvii-pan-am-games-toronto-2015/|2015|2249
Grand Prix Gold|TaipeiArena|TPE|Yonex Open Chinese Taipei 2015|$120,000|https://bwfbadminton.com/results/2316/yonex-open-chinese-taipei/|2015|2316
International Challenge|Lagos|NGR|Lagos International 2015|$15,000|https://bwfbadminton.com/results/2397/lagos-international-2015/|2015|2397
Grand Prix|Vladivostok|RUS|Russian Open 2015|$50,000|https://bwfbadminton.com/results/2317/russian-open/|2015|2317
Junior International Series|Ankara|TUR|Turkey Junior 2015|none|https://bwfbadminton.com/results/2343/turkey-junior-2015/|2015|2343
Junior Future Series|California|USA|2015 MBBC Junior International Ranking Tournament|none|https://bwfbadminton.com/results/2416/2015-mbbc-junior-international-ranking-tournament/|2015|2416
Continental Junior Championships|Tijuana|MEX|XXIV Pan Am Jr. Championships Team Event 2015|none|https://bwfbadminton.com/results/2516/xxiv-pan-am-jr-championships-team-event-2015/|2015|2516
Continental Junior Championships|Tijuana|MEX|XXIV Pan Am Jr. U19 Championships 2015|none|https://bwfbadminton.com/results/2250/xxiv-pan-am-jr-u19-championships-2015/|2015|2250
Continental Junior Championships|Tijuana|MEX|XXIV Pan Am Jr. Championships U11, U13, U15, U17 2015|none|https://bwfbadminton.com/results/2518/xxiv-pan-am-jr-championships-u11%2C-u13%2C-u15%2C-u17-2015/|2015|2518
BWF Events|Jakarta|INA|TOTAL BWF World Championships 2015|none|https://bwfworldchampionships.bwfbadminton.com/results/2463/total-bwf-world-championships-2015/|2015|2463
Junior International Series|Pazardzhik|BUL|Bulgarian Junior 2015|none|https://bwfbadminton.com/results/2344/bulgarian-junior-2015/|2015|2344
International Series|Sofia|BUL|Eurasia Bulgaria International 2015|$5,000|https://bwfbadminton.com/results/2345/eurasia-bulgaria-international-2015/|2015|2345
International Series|Singapore|SGP|OUE Singapore International Series 2015|$5,000|https://bwfbadminton.com/results/2433/oue-singapore-international-series-2015/|2015|2433
International Series|Istanbul|TUR|I.B.B. Turkish International 2015|$5,000|https://bwfbadminton.com/results/2346/i-b-b-turkish-international-2015/|2015|2346
Junior Future Series|SantoDomingo|DOM|CAREBACO 2015 U19 International|none|https://bwfbadminton.com/results/2467/carebaco-2015-u19-international/|2015|2467
Junior International Series|Timisoara|ROU|Romanian Junior 2015|none|https://bwfbadminton.com/results/2347/romanian-junior-2015/|2015|2347
Grand Prix|HoChiMinhCity|VIE|Yonex-Sunrise Vietnam Open 2015|$50,000|https://bwfbadminton.com/results/2318/yonex-sunrise-vietnam-open/|2015|2318
Future Series|SantoDomingo|DOM|CAREBACO International 2015|none|https://bwfbadminton.com/results/2299/carebaco-international-2015/|2015|2299
Junior Future Series|SANTODOMINGO|DOM|CAREBACO CHAMPIONSHIPS 2015 U15-U19|none|https://bwfbadminton.com/results/2529/carebaco-championships-2015-u15-u19/|2015|2529
Future Series|Trencin|SVK|Yonex Slovak Open 2015|none|https://bwfbadminton.com/results/2348/yonex-slovak-open-2015/|2015|2348
International Challenge|EastJava|INA|Victor Indonesia International Challenge 2015|$20,000|https://bwfbadminton.com/results/2434/victor-indonesia-international-challenge-2015/|2015|2434
International Challenge|CiudaddeGuatemala|GUA|Guatemala International Challenge 2015|$15,000|https://bwfbadminton.com/results/2300/guatemala-international-challenge-2015/|2015|2300
BWF Events|Brazzaville|CGO|2015 African Continental Championships (Team)|none|https://bwfbadminton.com/results/2530/2015-african-continental-championships-team/|2015|2530
International Challenge|Kharkiv|UKR|Babolat Kharkiv International 2015|$15,000|https://bwfbadminton.com/results/2349/babolat-kharkiv-international-2015/|2015|2349
Junior International Grand Prix|Pune|IND|Sushant Chipalkatti Memorial India Junior International Badminton Championships 2015|none|https://bwfbadminton.com/results/2435/sushant-chipalkatti-memorial-india-junior-international-badminton-championships-2015/|2015|2435
Junior International Series|Dublin|IRL|Irish U19 Open 2015|none|https://bwfbadminton.com/results/2350/irish-u19-open-2015/|2015|2350
Continental Individual Championships|Brazzaville|CGO|2015 African Continental Championships (Individual)|none|https://bwfbadminton.com/results/2532/2015-african-continental-championships-individual/|2015|2532
World Superseries|Tokyo|JPN|Yonex Open Japan 2015|$275,000|https://bwfbadminton.com/results/2281/yonex-open-japan/|2015|2281
Junior International Series|KualaLumpur|MAS|MAYBANK Malaysia International Youth U-19 2015|none|https://bwfbadminton.com/results/2436/maybank-malaysia-international-youth-u-19-2015/|2015|2436
International Series|CANCUN|MEX|VI Internacional Mexicano 2015|$5,000|https://bwfbadminton.com/results/2251/vi-internacional-mexicano-2015/|2015|2251
International Challenge|Leuven|BEL|Yonex Belgian International 2015|$15,000|https://bwfbadminton.com/results/2351/yonex-belgian-international-2015/|2015|2351
Junior Future Series|Ballarat|AUS|2015 Victor Australian Junior International|none|https://bwfbadminton.com/results/2406/2015-victor-australian-junior-international/|2015|2406
International Series|Auckland|NZL|Auckland International 2015|$5,000|https://bwfbadminton.com/results/2464/auckland-international-2015/|2015|2464
Junior International Series|Klaipeda|LTU|Yonex Lithuanian Junior 2015|none|https://bwfbadminton.com/results/2352/yonex-lithuanian-junior-2015/|2015|2352
World Superseries|Seoul|KOR|Victor Korea Open 2015|$600,000|https://bwfbadminton.com/results/2282/victor-korea-open/|2015|2282
Junior International Grand Prix|Yogyakarta|INA|Jaya Raya Indonesia Junior International Challenge 2015|none|https://bwfbadminton.com/results/2437/jaya-raya-indonesia-junior-international-challenge-2015/|2015|2437
International Series|Maribyrnong|AUS|2015 Victor Maribyrnong International|$5,000|https://bwfbadminton.com/results/2407/2015-victor-maribyrnong-international/|2015|2407
International Series|Bierun|POL|Varcolor Polish International 2015|$5,000|https://bwfbadminton.com/results/2353/varcolor-polish-international-2015/|2015|2353
Future Series|Kampala|UGA|Kampala International 2015|none|https://bwfbadminton.com/results/2398/kampala-international-2015/|2015|2398
Junior International Series|Herstal|BEL|Yonex Belgian Junior 2015|none|https://bwfbadminton.com/results/2354/yonex-belgian-junior-2015/|2015|2354
BWF Events|Helsingborg|SWE|BWF World Senior Championships|none|https://bwfbadminton.com/results/2293/bwf-world-senior-championships/|2015|2293
International Challenge|Sydney|AUS|2015 Sydney International|$15,000|https://bwfbadminton.com/results/2408/2015-sydney-international/|2015|2408
International Series|Medellin|COL|VI Colombia Internacional 2015|$5,000|https://bwfbadminton.com/results/2252/vi-colombia-internacional-2015/|2015|2252
International Challenge|Prague|CZE|FZ Forza Prague Open 2015|$15,000|https://bwfbadminton.com/results/2355/fz-forza-prague-open-2015/|2015|2355
International Series|Ulaanbatar|MGL|Altai Holding- Apacs International Series 2015|$5,000|https://bwfbadminton.com/results/2438/altai-holding-apacs-international-series-2015/|2015|2438
Junior International Challenge|Geneva|SUI|Swiss Junior Open 2015|none|https://bwfbadminton.com/results/2356/swiss-junior-open-2015/|2015|2356
International Series|AddisAbeba|ETH|Ethiopia International 2015|$5,000|https://bwfbadminton.com/results/2417/ethiopia-international-2015/|2015|2417
Grand Prix Gold|Bangkok|THA|SCG Thailand Open 2015|$120,000|https://bwfbadminton.com/results/2320/scg-thailand-open/|2015|2320
International Challenge|Sofia|BUL|Babolat Bulgarian International 2015|$15,000|https://bwfbadminton.com/results/2357/babolat-bulgarian-international-2015/|2015|2357
International Series|Abuja|NGR|Nigeria International 2015|$10,000|https://bwfbadminton.com/results/2418/nigeria-international-2015/|2015|2418
International Series|DaNang|VIE|Kawasaki - Tran Local Foods Vietnam International Series 2015|$5,000|https://bwfbadminton.com/results/2439/kawasaki-tran-local-foods-vietnam-international-series-2015/|2015|2439
Junior Future Series|PuertolaCruz|VEN|Venezuela Junior International 2015|none|https://bwfbadminton.com/results/2491/venezuela-junior-international-2015/|2015|2491
Junior International Series|Dubrovnik|CRO|Valamar Junior Open 2015|none|https://bwfbadminton.com/results/2396/valamar-junior-open-2015/|2015|2396
Grand Prix|Almere|NED|Yonex Dutch Open 2015|$50,000|https://bwfbadminton.com/results/2321/yonex-dutch-open/|2015|2321
International Series|Neuquen|ARG|IV Argentina International 2015|$5,000|https://bwfbadminton.com/results/2301/iv-argentina-international-2015/|2015|2301
Junior International Series|Gentofte|DEN|Danish Junior Cup 2015|none|https://bwfbadminton.com/results/2358/danish-junior-cup-2015/|2015|2358
Junior Future Series|Calgary|CAN|Canada Junior International 2015|none|https://bwfbadminton.com/results/2450/canada-junior-international-2015/|2015|2450
World Superseries Premier|Odense|DEN|Yonex Denmark Open 2015|$650,000|https://bwfbadminton.com/results/2283/yonex-denmark-open/|2015|2283
Grand Prix|Taipei|TPE|Chinese Taipei Grand Prix 2015|$50,000|https://bwfbadminton.com/results/2319/chinese-taipei-grand-prix/|2015|2319
International Challenge|TBC|CHI|Chile International Challenge  2015|$15,000|https://bwfbadminton.com/results/2253/chile-international-challenge-2015/|2015|2253
International Challenge|Yverdon-les-Bains|SUI|Swiss International 2015|$15,000|https://bwfbadminton.com/results/2359/swiss-international-2015/|2015|2359
Future Series|Cairo|EGY|Egypt International 2015|none|https://bwfbadminton.com/results/2419/egypt-international-2015/|2015|2419
Junior International Series|Mirna|SLO|21. Slovenia Junior 2015|none|https://bwfbadminton.com/results/2360/21-slovenia-junior-2015/|2015|2360
World Superseries|Paris|FRA|Yonex French Open 2015|$275,000|https://bwfbadminton.com/results/2284/yonex-french-open/|2015|2284
International Series|SaoPaulo|BRA|30º Brazil International Badminton Cup|$5,000|https://bwfbadminton.com/results/2254/30%C2%BA-brazil-international-badminton-cup/|2015|2254
Future Series|KibutzHatzor|ISR|Hatzor International 2015|none|https://bwfbadminton.com/results/2361/hatzor-international-2015/|2015|2361
Junior International Series|Espoo|FIN|Finnish Junior 2015|none|https://bwfbadminton.com/results/2362/finnish-junior-2015/|2015|2362
Grand Prix Gold|Saarbrucken|GER|Bitburger Open 2015|$120,000|https://bwfbadminton.com/results/2322/bitburger-open/|2015|2322
International Series|Noumea|NCL|2015 New Caledonia International|$5,000|https://bwfbadminton.com/results/2409/2015-new-caledonia-international/|2015|2409
International Series|IsaTown|BRN|Victor- Rayan Sports Bahrain International Series 2015|$5,000|https://bwfbadminton.com/results/2440/victor-rayan-sports-bahrain-international-series-2015/|2015|2440
International Series|Budaors|HUN|40th Yonex Hungarian International 2015|$5,000|https://bwfbadminton.com/results/2363/40th-yonex-hungarian-international-2015/|2015|2363
Future Series|Alger|ALG|Algeria International 2015|none|https://bwfbadminton.com/results/2421/algeria-international-2015/|2015|2421
Junior International Series|Trencin|SVK|Yonex Slovak Junior 2015|none|https://bwfbadminton.com/results/2364/yonex-slovak-junior-2015/|2015|2364
Grand Prix Gold|JeonjuCity|KOR|Jeonju Victor Korea Masters 2015|$120,000|https://bwfbadminton.com/results/2323/jeonju-victor-korea-masters/|2015|2323
International Challenge|IsaTown|BRN|Bahrain International Challenge 2015|$15,000|https://bwfbadminton.com/results/2441/bahrain-international-challenge-2015/|2015|2441
BWF Events|Lima|PER|World Junior Mixed Team Championships 2015|none|https://bwfbadminton.com/results/2487/world-junior-mixed-team-championships-2015/|2015|2487
Junior International Series|Nicosia|CYP|Cyprus Junior 2015|none|https://bwfbadminton.com/results/2520/cyprus-junior-2015/|2015|2520
World Superseries Premier|Fuzhou|CHN|Thaihot China Open 2015|$700,000|https://bwfbadminton.com/results/2285/thaihot-china-open/|2015|2285
BWF Events|Lima|PER|BWF World Junior Championships 2015|none|https://bwfbadminton.com/results/2308/bwf-world-junior-championships-2015/|2015|2308
International Challenge|AlorSetar|MAS|Maybank Malaysia International Challenge Badminton Championships 2015|$15,000|https://bwfbadminton.com/results/2442/maybank-malaysia-international-challenge-badminton-championships-2015/|2015|2442
International Series|SanJuan|PUR|Puerto Rico International Series 2015|$5,000|https://bwfbadminton.com/results/2302/puerto-rico-international-series-2015/|2015|2302
International Series|Sandefjord|NOR|Norwegian International 2015|$5,000|https://bwfbadminton.com/results/2365/norwegian-international-2015/|2015|2365
Junior International Series|Singapore|SGP|OUE Singapore Youth International Series 2015|none|https://bwfbadminton.com/results/2443/oue-singapore-youth-international-series-2015/|2015|2443
World Superseries|Kowloon|HKG|YONEX-SUNRISE Hong Kong Open 2015|$350,000|https://bwfbadminton.com/results/2286/yonex-sunrise-hong-kong-open/|2015|2286
International Series|Paramaribo|SUR|IX Suriname International 2015|$5,000|https://bwfbadminton.com/results/2303/ix-suriname-international-2015/|2015|2303
Grand Prix|Glasgow|SCO|2015 Scottish Open Grand Prix|$50,000|https://bwfbadminton.com/results/2324/2015-scottish-open-grand-prix/|2015|2324
International Series|Helsinki|FIN|Finnish International 2015|$5,000|https://bwfbadminton.com/results/2366/finnish-international-2015/|2015|2366
Junior International Series|Orlova-Lutyne|CZE|Czech Junior 2015|none|https://bwfbadminton.com/results/2367/czech-junior-2015/|2015|2367
Junior International Series|GwangjuMetropolitanCity|KOR|Yonex Korea Junior Open Badminton Championships 2015|none|https://bwfbadminton.com/results/2444/yonex-korea-junior-open-badminton-championships-2015/|2015|2444
Grand Prix|RiodeJaneiro|BRA|YONEX Brasil Open 2015|$50,000|https://bwfbadminton.com/results/2325/yonex-brasil-open-2015/|2015|2325
Grand Prix Gold|Macau|MAC|Macau Open 2015|$120,000|https://bwfbadminton.com/results/2326/macau-open/|2015|2326
International Challenge|Cardiff|WAL|Yonex Welsh International 2015|$15,000|https://bwfbadminton.com/results/2368/yonex-welsh-international-2015/|2015|2368
International Series|Lusaka|ZAM|Zambia International 2015|$5,000|https://bwfbadminton.com/results/2422/zambia-international-2015/|2015|2422
Junior International Series|CaldasdaRainha|POR|VII Portuguese Junior 2015|none|https://bwfbadminton.com/results/2369/vii-portuguese-junior-2015/|2015|2369
Grand Prix Gold|Malang|INA|Yonex Sunrise Indonesian Masters 2015|$120,000|https://bwfbadminton.com/results/2327/yonex-sunrise-indonesian-masters-2015/|2015|2327
International Challenge|Dhaka|BAN|Yonex -Sunrise Bangladesh Open International Badminton Challenge 2015|$15,000|https://bwfbadminton.com/results/2445/yonex-sunrise-bangladesh-open-international-badminton-challenge-2015/|2015|2445
International Challenge|Orlando|USA|YONEX USA International 2015|$15,000|https://bwfbadminton.com/results/2465/yonex-usa-international-2015/|2015|2465
International Challenge|Dublin|IRL|Irish Open 2015|$15,000|https://bwfbadminton.com/results/2370/irish-open-2015/|2015|2370
International Series|CapeTown|RSA|South Africa International 2015|$5,000|https://bwfbadminton.com/results/2423/south-africa-international-2015/|2015|2423
Junior International Series|Tartu|EST|Yonex Estonian Junior 2015|none|https://bwfbadminton.com/results/2448/yonex-estonian-junior-2015/|2015|2448
Grand Prix|Orange|USA|2015 K&D; Graphics / Yonex Grand Prix|$50,000|https://bwfbadminton.com/results/2328/2015-k-d-graphics-yonex-grand-prix/|2015|2328
International Challenge|Milano|ITA|Yonex Italian International 2015|$15,000|https://bwfbadminton.com/results/2371/yonex-italian-international-2015/|2015|2371
World Superseries Premier|Dubai|UAE|Dubai World Superseries Finals 2015|$1,000,000|https://bwfbadminton.com/results/2294/dubai-world-superseries-finals-2015/|2015|2294
International Challenge|Mumbai|IND|TATA Open India International Challenge 2015|$15,000|https://bwfbadminton.com/results/2446/tata-open-india-international-challenge-2015/|2015|2446
International Series|Gaborone|BOT|Botswana International 2015|$5,000|https://bwfbadminton.com/results/2424/botswana-international-2015/|2015|2424
Grand Prix|MexicoCity|MEX|Mexico City Grand Prix 2015|$50,000|https://bwfbadminton.com/results/2329/mexico-city-grand-prix/|2015|2329
International Challenge|Mersin|TUR|Mersin Turkey International 2015|$15,000|https://bwfbadminton.com/results/2372/mersin-turkey-international-2015/|2015|2372
International Series|Tallinn|EST|YONEX Estonian International 2016|$6,000|https://bwfbadminton.com/results/2373/yonex-estonian-international-2016/|2016|2373
Grand Prix Gold|Penang|MAS|Victor Far East Malaysia Masters 2016|$120,000|https://bwfbadminton.com/results/2331/victor-far-east-malaysia-masters/|2016|2331
International Challenge|Hainan|CHN|China International Challenge 2016|$50,000|https://bwfbadminton.com/results/2425/china-international-challenge-2016/|2016|2425
Junior International Series|Bangkok|THA|Granular - Pay Paid Junior Open 2016|none|https://bwfbadminton.com/results/2495/granular-pay-paid-junior-open-2016/|2016|2495
Junior International Challenge|Lubin|POL|Artengo Polish Junior 2016|none|https://bwfbadminton.com/results/2521/artengo-polish-junior-2016/|2016|2521
International Challenge|Uppsala|SWE|Swedish Masters 2016|$17,500|https://bwfbadminton.com/results/2374/swedish-masters-2016/|2016|2374
Grand Prix Gold|Lucknow|IND|Syed Modi International Badminton Championships 2016|$120,000|https://bwfbadminton.com/results/2332/syed-modi-international-badminton-championships-2016/|2016|2332
International Series|Reykjavik|ISL|Iceland International 2016|$6,000|https://bwfbadminton.com/results/2375/iceland-international-2016/|2016|2375
International Series|ManhattanBeach|USA|MBBC USA International 2016|$6,000|https://bwfbadminton.com/results/2564/mbbc-usa-international-2016/|2016|2564
Grand Prix Gold|Bangkok|THA|Princess Sirivannavari Thailand Masters 2016|$120,000|https://bwfbadminton.com/results/2333/princess-sirivannavari-thailand-masters-2016/|2016|2333
Future Series|RoseHill|MRI|Rose Hill International 2016|none|https://bwfbadminton.com/results/2412/rose-hill-international-2016/|2016|2412
Junior International Series|Pecs|HUN|6th Multi Alarm Hungarian Junior 2016|none|https://bwfbadminton.com/results/2496/6th-multi-alarm-hungarian-junior-2016/|2016|2496
BWF Events|Hyderabad|IND|Happening Hyderabad Badminton Asia Team Championships 2016|none|https://bwfbadminton.com/results/2538/happening-hyderabad-badminton-asia-team-championships-2016/|2016|2538
BWF Events|Kazan|RUS|2016 European Men's & Women's Team Championships|none|https://bwfbadminton.com/results/2390/2016-european-men-s-women-s-team-championships/|2016|2390
BWF Events|Auckland|NZL|2016 Oceania Mixed Team Championships|none|https://bwfbadminton.com/results/2402/2016-oceania-mixed-team-championships/|2016|2402
BWF Events|RoseHill|MRI|Africa Continental Team Championships 2016|none|https://bwfbadminton.com/results/2593/africa-continental-team-championships-2016/|2016|2593
BWF Events|Guadalajara|MEX|Pan Am Team Continental Championships 2016|none|https://bwfbadminton.com/results/2565/pan-am-team-continental-championships-2016/|2016|2565
